['Common', 'SWEEP-WS', 'QSIM-WS']
 * Serving Flask app "sweep-streamWS" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [25/Jul/2018 13:56:16] "GET /run HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:16] "GET /pr HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:17] "GET /run HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:17] "GET /pr HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:18] "GET /run HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:18] "GET /pr HTTP/1.1" 200 -
172.16.9.211 - - [25/Jul/2018 13:56:19] "POST /query HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
127.0.0.1 - - [25/Jul/2018 13:56:19] "POST /data HTTP/1.1" 200 -
